event_time,event_type,product_id,category_id,user_id,user_session,session_value
2025-06-19 10:23:07+00:00,ADD_CART,PROD_011223,CAT_00054,USER_097562,SESSION_158779,90.29
2025-06-07 21:34:45+00:00,ADD_CART,PROD_005519,CAT_00144,USER_006535,SESSION_029987,16.39
2025-06-21 21:29:09+00:00,ADD_CART,PROD_000577,CAT_00273,USER_047199,SESSION_022134,64.27
2025-06-09 09:10:20+00:00,ADD_CART,PROD_019235,CAT_00442,USER_082028,SESSION_161308,41.67
2025-06-19 11:13:58+00:00,ADD_CART,PROD_001702,CAT_00025,USER_096574,SESSION_182859,86.11
2025-06-06 21:46:16+00:00,ADD_CART,PROD_027757,CAT_00445,USER_074120,SESSION_088791,18.72
2025-06-16 19:58:09+00:00,ADD_CART,PROD_010366,CAT_00027,USER_080133,SESSION_071447,109.21
2025-06-07 19:10:48+00:00,ADD_CART,PROD_023891,CAT_00010,USER_078782,SESSION_044888,22.95
2025-06-14 14:19:34+00:00,ADD_CART,PROD_030718,CAT_00143,USER_053863,SESSION_111551,126.02
2025-06-20 13:08:17+00:00,ADD_CART,PROD_008322,CAT_00293,USER_099054,SESSION_006184,50.82
2025-06-07 14:26:13+00:00,ADD_CART,PROD_029451,CAT_00226,USER_012660,SESSION_144317,39.62
2025-06-07 02:31:34+00:00,ADD_CART,PROD_001100,CAT_00436,USER_053457,SESSION_068896,92.87
2025-06-09 06:59:14+00:00,ADD_CART,PROD_016445,CAT_00090,USER_052477,SESSION_113555,26.3
2025-06-07 12:04:43+00:00,ADD_CART,PROD_011972,CAT_00013,USER_078104,SESSION_154495,26.46
2025-06-05 20:22:04+00:00,ADD_CART,PROD_001430,CAT_00076,USER_004670,SESSION_145427,323.02
2025-06-04 15:17:02+00:00,ADD_CART,PROD_014242,CAT_00090,USER_043419,SESSION_029934,75.07
2025-06-07 18:56:28+00:00,ADD_CART,PROD_032973,CAT_00030,USER_008790,SESSION_086733,118.43
2025-06-06 17:48:34+00:00,ADD_CART,PROD_008425,CAT_00022,USER_053730,SESSION_174910,97.62
2025-06-17 06:00:56+00:00,ADD_CART,PROD_024155,CAT_00187,USER_051501,SESSION_062482,215.87
2025-06-15 16:52:37+00:00,ADD_CART,PROD_024379,CAT_00209,USER_003910,SESSION_150416,18.17
2025-06-13 19:29:42+00:00,ADD_CART,PROD_002476,CAT_00076,USER_029497,SESSION_165546,50.76
2025-06-17 06:27:43+00:00,ADD_CART,PROD_031718,CAT_00211,USER_051379,SESSION_136723,110.21
