,event_time,event_type,product_id,category_id,user_id,user_session,session_value
0,2025-06-19 10:23:07+00:00,0,11223,54,97562,158779,4.514041252576989
1,2025-06-07 21:34:45+00:00,0,5519,144,6535,29987,2.855895328366192
2,2025-06-21 21:29:09+00:00,0,577,273,47199,22134,4.178532512647126
3,2025-06-09 09:10:20+00:00,0,19235,442,82028,161308,3.7534960971999087
4,2025-06-19 11:13:58+00:00,0,1702,25,96574,182859,4.467171687830801
5,2025-06-06 21:46:16+00:00,0,27757,445,74120,88791,2.9816333491744893
6,2025-06-16 19:58:09+00:00,0,10366,27,80133,71447,4.702387636703451
7,2025-06-07 19:10:48+00:00,0,23891,10,78782,44888,3.175968323856924
8,2025-06-14 14:19:34+00:00,0,30718,143,53863,111551,4.844344554374829
9,2025-06-20 13:08:17+00:00,0,8322,293,99054,6184,3.947776175133964
10,2025-06-07 14:26:13+00:00,0,29451,226,12660,144317,3.7042605561522386
11,2025-06-07 02:31:34+00:00,0,1100,436,53457,68896,4.541910846348901
12,2025-06-09 06:59:14+00:00,0,16445,90,52477,113555,3.306886702190914
13,2025-06-07 12:04:43+00:00,0,11972,13,78104,154495,3.312730400339825
14,2025-06-05 20:22:04+00:00,0,1430,76,4670,145427,5.780805242282272
15,2025-06-04 15:17:02+00:00,0,14242,90,43419,29934,4.33165396900921
16,2025-06-07 18:56:28+00:00,0,32973,30,8790,86733,4.782730425680335
17,2025-06-06 17:48:34+00:00,0,8425,22,53730,174910,4.59127408079598
18,2025-06-17 06:00:56+00:00,0,24155,187,51501,62482,5.379298095680316
19,2025-06-15 16:52:37+00:00,0,24379,209,3910,150416,2.9533465570575532
20,2025-06-13 19:29:42+00:00,0,2476,76,29497,165546,3.9466176501926453
21,2025-06-17 06:27:43+00:00,0,31718,211,51379,136723,4.71142030583075
22,2025-06-10 10:40:49+00:00,0,24488,149,12164,79557,4.883634908890262
23,2025-06-10 22:11:28+00:00,0,5003,137,62368,27155,3.51631018876266
24,2025-06-01 07:36:35+00:00,0,10216,11,54220,168608,4.002594703612533
25,2025-06-17 16:50:53+00:00,0,11977,30,86624,146595,4.294833422971504
26,2025-06-06 13:51:17+00:00,0,6593,19,70504,182867,4.729421148325948
27,2025-06-13 17:34:28+00:00,0,13165,30,7213,161312,4.3342796761761475
28,2025-06-16 18:12:58+00:00,0,24949,32,4031,101880,3.2359295794340284
29,2025-06-07 08:32:23+00:00,0,2582,30,15920,75936,3.548467300397191
30,2025-06-02 04:06:42+00:00,0,1416,441,57730,127919,3.8973153765558717
31,2025-06-18 12:21:14+00:00,0,9865,4,96473,145519,3.9074123928704627
32,2025-06-08 09:46:26+00:00,0,10452,209,47769,189756,3.426865128410733
33,2025-06-01 14:55:51+00:00,0,3905,281,53222,128323,3.8995454839170334
34,2025-06-04 05:46:09+00:00,0,15655,33,37135,4558,3.326114575537799
35,2025-06-17 05:48:51+00:00,0,4725,96,60685,63670,3.7438410121879104
36,2025-06-14 15:04:26+00:00,0,2624,30,382,162648,4.62114195549779
37,2025-06-06 20:14:41+00:00,0,11969,4,73617,144026,3.2140642678709788
38,2025-06-17 10:59:10+00:00,0,1904,25,10961,186120,4.021594641857437
39,2025-06-07 00:32:43+00:00,0,22998,331,74865,93476,3.6732580732109796
40,2025-06-05 08:59:21+00:00,0,8494,96,32334,73358,3.441379171294987
41,2025-06-06 16:09:22+00:00,0,6010,2,51453,93958,3.5336865647082343
42,2025-06-03 10:39:28+00:00,0,1272,112,33110,9285,5.6259650669428645
43,2025-06-14 18:43:19+00:00,0,12236,30,44714,70926,5.299566585948469
44,2025-06-02 19:28:39+00:00,0,30260,108,62648,93921,4.039536325727106
45,2025-06-08 17:51:48+00:00,0,2587,30,66487,89786,3.8192496052757914
46,2025-06-03 06:37:17+00:00,0,8768,403,49343,52071,4.033532422825343
47,2025-06-21 18:58:19+00:00,0,15655,33,39985,180958,4.4330761493495725
48,2025-06-10 14:11:10+00:00,0,9562,250,48801,24749,3.4496700351129332
49,2025-06-05 11:19:30+00:00,0,2849,113,67104,152680,4.247065649239764
50,2025-06-15 16:05:54+00:00,0,26478,443,23460,26295,4.156066620850098
51,2025-06-12 07:13:58+00:00,0,11127,171,86752,54969,3.4028626609812167
52,2025-06-06 18:25:40+00:00,0,31548,90,5095,172131,1.965712776351493
53,2025-06-19 23:55:17+00:00,0,2470,76,49523,64024,3.7230393057606412
54,2025-06-02 05:09:14+00:00,0,4510,110,58030,38666,2.8875901149342877
55,2025-06-21 11:26:41+00:00,0,2898,22,25883,42411,3.5504790843779097
56,2025-06-12 15:16:17+00:00,0,15884,46,87386,113859,3.908617212293313
57,2025-06-02 17:10:46+00:00,0,9221,341,61890,115898,3.872450230308323
58,2025-06-08 09:16:21+00:00,0,8712,268,79927,60067,3.3847291889548483
59,2025-06-06 11:20:16+00:00,0,27986,382,70049,34548,3.7966121539168185
60,2025-06-15 06:28:50+00:00,0,26928,307,9357,42080,3.8004208288468435
61,2025-06-19 20:02:20+00:00,0,3395,144,88139,15165,3.96176509732296
62,2025-06-19 12:30:35+00:00,0,6395,22,32244,68903,4.66287289611638
63,2025-06-21 13:36:43+00:00,0,14405,308,92116,178417,3.688629422858727
64,2025-06-02 08:15:08+00:00,0,1128,199,13271,142658,5.162898479440301
65,2025-06-06 18:20:29+00:00,0,26700,206,72489,140454,2.854168709232204
66,2025-06-12 07:52:56+00:00,0,11332,115,24048,74480,3.1018924693823817
67,2025-06-06 15:57:17+00:00,0,1262,246,17017,127781,4.0418224429629905
68,2025-06-18 07:36:44+00:00,0,4278,280,10486,109485,5.065691499844334
69,2025-06-10 11:57:24+00:00,0,23563,313,83025,144288,4.073291153024268
70,2025-06-11 09:03:46+00:00,0,2232,25,85190,95582,3.952204795060978
71,2025-06-10 13:42:24+00:00,0,4038,22,36522,101406,4.229166788029546
72,2025-06-03 06:54:10+00:00,0,21063,46,12203,189669,4.573369873438294
73,2025-06-02 19:33:37+00:00,0,13684,271,17351,140846,4.659942421835071
74,2025-06-16 14:19:14+00:00,0,28686,90,93510,81613,4.757977106231849
75,2025-06-02 08:18:28+00:00,0,6565,11,48726,69565,4.752468873008971
76,2025-06-02 21:38:38+00:00,0,1802,90,63294,151975,4.050218504179545
77,2025-06-01 18:41:19+00:00,0,7153,1,55612,148721,3.89630004496291
78,2025-06-07 19:44:04+00:00,0,11010,313,36606,59062,2.8284963541780774
79,2025-06-06 20:36:45+00:00,0,12966,342,994,3762,3.7293013686128518
80,2025-06-02 22:25:55+00:00,0,31313,90,63509,86577,3.6464937376174986
81,2025-06-05 14:43:03+00:00,0,14025,281,67467,178403,3.907010463604602
82,2025-06-14 18:28:08+00:00,0,26119,275,1193,106395,2.2438960966453663
83,2025-06-20 07:21:05+00:00,0,14031,145,186,130292,2.0014800002101243
84,2025-06-18 18:21:53+00:00,0,1527,13,52179,27551,2.315501318260592
85,2025-06-04 03:55:53+00:00,0,3283,48,32156,4970,3.656356262408376
86,2025-06-12 17:40:12+00:00,0,24488,149,87278,136795,3.6640743351949654
87,2025-06-14 15:16:44+00:00,0,20501,29,37244,142783,3.8122026701459353
88,2025-06-15 23:43:55+00:00,0,10426,314,8425,155193,3.8392372357024933
89,2025-06-04 11:23:40+00:00,0,1414,24,65895,67886,4.027135812528651
90,2025-06-14 12:53:02+00:00,0,5358,86,8614,22374,3.9575698203841165
91,2025-06-11 04:49:57+00:00,0,30459,10,2747,161764,3.564166209940295
92,2025-06-02 09:14:48+00:00,0,20480,221,59382,179979,3.3614165116503107
93,2025-06-07 07:29:25+00:00,0,25300,298,76725,71002,3.749974553473747
94,2025-06-16 20:22:38+00:00,0,14242,90,1935,157079,3.840527003723076
95,2025-06-19 12:53:32+00:00,0,6648,19,46401,163280,3.6219380483600547
96,2025-06-04 15:07:34+00:00,0,32617,96,49509,110085,5.293355074718222
97,2025-06-13 09:07:31+00:00,0,314,29,34875,171715,3.6211358020274167
98,2025-06-03 04:40:28+00:00,0,3221,92,53590,102666,3.7727609380946383
99,2025-06-19 04:43:58+00:00,0,19752,149,12714,181863,3.696351468952637
100,2025-06-16 18:00:17+00:00,0,6099,6,37852,124392,3.2684276036974484
101,2025-06-19 04:01:32+00:00,0,3287,48,25947,185336,4.3129444734864375
102,2025-06-16 10:51:27+00:00,0,22635,90,8268,66528,5.699004411203101
103,2025-06-01 21:05:37+00:00,0,27770,209,56203,105849,3.932021691934835
104,2025-06-18 05:41:51+00:00,0,16530,111,52385,160928,3.6157709822932977
105,2025-06-02 13:55:19+00:00,0,29727,27,60875,136373,3.901770628963795
106,2025-06-10 14:00:22+00:00,0,24488,149,11330,115641,6.068726468900912
107,2025-06-05 08:17:27+00:00,0,28203,333,43423,27954,3.597312260588446
108,2025-06-02 21:11:55+00:00,0,8265,18,63182,134477,4.022132228108176
109,2025-06-09 20:56:36+00:00,0,5519,144,32856,68996,3.587123545159549
110,2025-06-10 17:12:51+00:00,0,1698,25,3272,15187,4.50920979484218
111,2025-06-18 16:50:56+00:00,0,6481,285,5097,128371,2.67552700939665
112,2025-06-14 20:32:44+00:00,0,26293,280,46122,157790,3.1684242813721024
113,2025-06-17 08:32:46+00:00,0,15582,11,44557,79357,4.641598542601643
114,2025-06-21 15:55:52+00:00,0,17814,63,26688,184217,4.732683506287051
115,2025-06-02 08:54:42+00:00,0,12966,342,59261,177882,3.3840512228271846
116,2025-06-02 13:37:09+00:00,0,15223,27,10992,111429,3.5333945512735414
117,2025-06-10 12:44:36+00:00,0,5510,144,21823,158189,3.279406324608233
118,2025-06-11 21:54:09+00:00,0,9000,247,78309,24570,4.1183865567023386
119,2025-06-20 10:16:35+00:00,0,2779,22,31934,21686,5.529071880863581
120,2025-06-09 11:39:40+00:00,0,5768,129,82283,13169,3.956805148200039
121,2025-06-18 02:48:58+00:00,0,7126,218,88888,38502,4.574710978503383
122,2025-06-17 15:55:14+00:00,0,7518,8,95251,141820,3.377246160839642
123,2025-06-06 09:23:31+00:00,0,10116,308,19369,181513,3.9837853716550367
124,2025-06-20 08:24:14+00:00,0,10985,246,98665,126321,5.378144666407591
125,2025-06-21 09:43:20+00:00,0,6599,19,9553,82705,3.2976870052924907
126,2025-06-11 20:44:31+00:00,0,14035,267,86416,11383,3.150596984114906
127,2025-06-03 11:47:48+00:00,0,16312,90,64316,116257,4.874739203012945
128,2025-06-15 03:06:45+00:00,0,5565,144,12021,134541,3.5432754802551445
129,2025-06-14 06:22:08+00:00,0,12508,338,89608,116706,5.001796345429051
130,2025-06-09 16:17:33+00:00,0,7923,243,7945,151862,3.0809921175048145
131,2025-06-08 08:12:05+00:00,0,13130,144,79416,50844,5.3400349598999055
132,2025-06-11 08:49:51+00:00,0,4457,145,6480,6839,5.052288942696368
133,2025-06-07 10:18:17+00:00,0,3701,135,75468,64100,4.860897087198321
134,2025-06-02 05:44:41+00:00,0,28579,27,53414,123874,4.033886593184986
135,2025-06-08 07:17:02+00:00,0,15548,10,30420,59409,3.8819760840758493
136,2025-06-07 08:08:23+00:00,0,6522,210,76924,47360,3.508256453955563
137,2025-06-10 07:40:43+00:00,0,15480,330,9916,718,4.3351970473170836
138,2025-06-16 14:20:25+00:00,0,8444,163,93480,113049,4.3130784050476105
139,2025-06-12 20:11:38+00:00,0,2604,30,87818,175059,3.9158158036668422
140,2025-06-15 20:54:22+00:00,0,10935,313,23585,146792,4.170379248498098
141,2025-06-08 03:19:24+00:00,0,15487,10,79109,113485,2.955951403542146
142,2025-06-19 07:20:33+00:00,0,20703,27,78069,60560,3.5879535355239756
143,2025-06-21 17:40:47+00:00,0,2457,287,53063,108919,5.0157554967908276
144,2025-06-08 21:34:26+00:00,0,3400,221,76597,166578,4.0024120051558265
145,2025-06-15 16:03:46+00:00,0,28066,406,30213,171013,4.851405068525699
146,2025-06-04 14:45:53+00:00,0,22530,296,293,173625,5.001998100700592
147,2025-06-06 20:49:47+00:00,0,31916,46,73857,62655,2.522523513359307
148,2025-06-12 23:02:29+00:00,0,20749,280,23600,130253,3.3109079103146946
149,2025-06-19 07:35:18+00:00,0,10209,11,3515,125395,4.967519003022628
150,2025-06-12 12:24:08+00:00,0,18396,142,48383,167799,6.376709940951288
151,2025-06-08 08:19:37+00:00,0,22905,113,79707,152087,3.738859386418957
152,2025-06-06 15:14:26+00:00,0,17386,4,71185,9291,3.6826098411003407
153,2025-06-06 12:36:58+00:00,0,6570,11,46821,188471,5.492773335997992
154,2025-06-21 11:37:58+00:00,0,1919,145,78955,34907,4.889371206603217
155,2025-06-19 10:03:43+00:00,0,7887,110,25105,107861,4.266756065129537
156,2025-06-10 14:43:30+00:00,0,12240,30,16563,135350,3.332561589272017
157,2025-06-13 19:20:10+00:00,0,2779,22,14892,25042,4.735496447663666
158,2025-06-16 10:47:31+00:00,0,369,44,61780,172382,3.571221410645704
159,2025-06-02 02:15:01+00:00,0,22428,382,57202,130510,3.4550540544528663
160,2025-06-10 18:25:48+00:00,0,9798,18,84615,140326,2.2669579153508947
161,2025-06-02 00:04:29+00:00,0,14316,25,24377,131101,3.718680945350726
162,2025-06-13 16:35:03+00:00,0,10373,27,11189,24118,4.622223940553919
163,2025-06-17 10:46:03+00:00,0,23662,293,6202,189425,5.018272721225467
164,2025-06-11 17:31:36+00:00,0,3571,22,82696,175055,4.164647686064525
165,2025-06-05 23:08:12+00:00,0,25081,336,68267,160609,3.884034968887977
166,2025-06-05 00:52:17+00:00,0,5508,144,43500,55243,3.865769620910684
167,2025-06-13 12:17:10+00:00,0,2379,10,83436,38077,4.441002839774178
168,2025-06-17 11:54:13+00:00,0,32696,24,67909,179307,4.199004832765533
169,2025-06-01 14:26:56+00:00,0,24504,226,54925,127279,4.0505668148762055
170,2025-06-10 12:53:56+00:00,0,29764,90,73905,76907,4.916690847919714
171,2025-06-18 20:31:59+00:00,0,10886,313,94128,74172,3.6921241842788253
172,2025-06-17 13:50:48+00:00,0,8391,13,4363,18289,5.169745085748273
173,2025-06-08 13:31:55+00:00,0,32945,25,11698,2592,4.950177325059141
174,2025-06-18 14:09:39+00:00,0,16302,247,96615,104228,4.122121843221548
175,2025-06-21 17:42:45+00:00,0,1495,25,27224,166521,3.4707234443107655
176,2025-06-10 09:32:17+00:00,0,24640,47,83729,74106,3.686376323895818
177,2025-06-19 22:57:10+00:00,0,18930,342,98391,20634,3.9487405883633087
178,2025-06-02 12:12:48+00:00,0,31427,114,60416,78668,3.974809993526911
179,2025-06-01 20:23:39+00:00,0,26376,90,28741,1994,3.8199077165203406
180,2025-06-17 13:00:39+00:00,0,10278,11,94887,181228,3.9774361439763783
181,2025-06-15 10:38:55+00:00,0,2310,92,19917,128637,4.371092069621102
182,2025-06-02 18:10:41+00:00,0,14635,23,62230,39029,3.591542221224979
183,2025-06-16 03:21:30+00:00,0,11906,40,41696,167111,3.846096855311979
184,2025-06-16 04:20:37+00:00,0,10500,330,6839,166321,3.175132901920282
