brand,model,title,image_path,resolution
Ferrari,12Cilindri,2025 Ferrari 12Cilindri Spider,ferrari_dataset/ferrari_images/12cilindri/2025_Ferrari_12Cilindri_Spider_1.jpg,3840x2160
Ferrari,12Cilindri,2025 Ferrari 12Cilindri Spider,ferrari_dataset/ferrari_images/12cilindri/2025_Ferrari_12Cilindri_Spider_2.jpg,3840x2160
Ferrari,12Cilindri,2025 Ferrari 12Cilindri Spider,ferrari_dataset/ferrari_images/12cilindri/2025_Ferrari_12Cilindri_Spider_3.jpg,3840x2160
Ferrari,12Cilindri,2025 Ferrari 12Cilindri Spider,ferrari_dataset/ferrari_images/12cilindri/2025_Ferrari_12Cilindri_Spider_4.jpg,3840x2160
Ferrari,12Cilindri,2025 Ferrari 12Cilindri Spider,ferrari_dataset/ferrari_images/12cilindri/2025_Ferrari_12Cilindri_Spider_5.jpg,3840x2160
Ferrari,12Cilindri,2025 Ferrari 12Cilindri,ferrari_dataset/ferrari_images/12cilindri/2025_Ferrari_12Cilindri_1.jpg,3840x2160
Ferrari,12Cilindri,2025 Ferrari 12Cilindri,ferrari_dataset/ferrari_images/12cilindri/2025_Ferrari_12Cilindri_2.jpg,3840x2160
Ferrari,12Cilindri,2025 Ferrari 12Cilindri,ferrari_dataset/ferrari_images/12cilindri/2025_Ferrari_12Cilindri_3.jpg,3840x2160
Ferrari,12Cilindri,2025 Ferrari 12Cilindri,ferrari_dataset/ferrari_images/12cilindri/2025_Ferrari_12Cilindri_4.jpg,3840x2160
Ferrari,12Cilindri,2025 Ferrari 12Cilindri,ferrari_dataset/ferrari_images/12cilindri/2025_Ferrari_12Cilindri_5.jpg,3840x2160
Ferrari,12Cilindri,2025 Ferrari 12Cilindri,ferrari_dataset/ferrari_images/12cilindri/2025_Ferrari_12Cilindri_6.jpg,3840x2160
Ferrari,12Cilindri,2025 Ferrari 12Cilindri,ferrari_dataset/ferrari_images/12cilindri/2025_Ferrari_12Cilindri_7.jpg,3840x2160
Ferrari,12Cilindri,2025 Ferrari 12Cilindri,ferrari_dataset/ferrari_images/12cilindri/2025_Ferrari_12Cilindri_8.jpg,3840x2160
Ferrari,12Cilindri,2025 Ferrari 12Cilindri,ferrari_dataset/ferrari_images/12cilindri/2025_Ferrari_12Cilindri_9.jpg,3840x2160
Ferrari,12Cilindri,2025 Ferrari 12Cilindri,ferrari_dataset/ferrari_images/12cilindri/2025_Ferrari_12Cilindri_10.jpg,3840x2160
Ferrari,12Cilindri,2025 Ferrari 12Cilindri,ferrari_dataset/ferrari_images/12cilindri/2025_Ferrari_12Cilindri_11.jpg,3840x2160
Ferrari,296,2026 Ferrari 296 Speciale A,ferrari_dataset/ferrari_images/296/2026_Ferrari_296_Speciale_A_1.jpg,3840x2160
Ferrari,296,2026 Ferrari 296 Speciale A,ferrari_dataset/ferrari_images/296/2026_Ferrari_296_Speciale_A_2.jpg,3840x2160
Ferrari,296,2026 Ferrari 296 Speciale A,ferrari_dataset/ferrari_images/296/2026_Ferrari_296_Speciale_A_3.jpg,3840x2160
Ferrari,296,2026 Ferrari 296 Speciale A,ferrari_dataset/ferrari_images/296/2026_Ferrari_296_Speciale_A_4.jpg,3840x2160
Ferrari,296,2026 Ferrari 296 Speciale A,ferrari_dataset/ferrari_images/296/2026_Ferrari_296_Speciale_A_5.jpg,3840x2160
Ferrari,296,2026 Ferrari 296 Speciale A,ferrari_dataset/ferrari_images/296/2026_Ferrari_296_Speciale_A_6.jpg,3840x2160
Ferrari,296,2026 Ferrari 296 Speciale A,ferrari_dataset/ferrari_images/296/2026_Ferrari_296_Speciale_A_7.jpg,3840x2160
Ferrari,296,2026 Ferrari 296 Speciale,ferrari_dataset/ferrari_images/296/2026_Ferrari_296_Speciale_1.jpg,3840x2160
Ferrari,296,2026 Ferrari 296 Speciale,ferrari_dataset/ferrari_images/296/2026_Ferrari_296_Speciale_2.jpg,3840x2160
Ferrari,296,2026 Ferrari 296 Speciale,ferrari_dataset/ferrari_images/296/2026_Ferrari_296_Speciale_3.jpg,3840x2160
Ferrari,296,2026 Ferrari 296 Speciale,ferrari_dataset/ferrari_images/296/2026_Ferrari_296_Speciale_4.jpg,3840x2160
Ferrari,296,2026 Ferrari 296 Speciale,ferrari_dataset/ferrari_images/296/2026_Ferrari_296_Speciale_5.jpg,3840x2160
Ferrari,296,2026 Ferrari 296 Speciale,ferrari_dataset/ferrari_images/296/2026_Ferrari_296_Speciale_6.jpg,3840x2160
Ferrari,296,2026 Ferrari 296 Speciale,ferrari_dataset/ferrari_images/296/2026_Ferrari_296_Speciale_7.jpg,3840x2160
Ferrari,296,2026 Ferrari 296 Speciale,ferrari_dataset/ferrari_images/296/2026_Ferrari_296_Speciale_8.jpg,3840x2160
Ferrari,296,2024 Novitec Ferrari 296 GTB N-Largo,ferrari_dataset/ferrari_images/296/2024_Novitec_Ferrari_296_GTB_N-Largo_1.jpg,3840x2160
Ferrari,296,2024 Novitec Ferrari 296 GTB N-Largo,ferrari_dataset/ferrari_images/296/2024_Novitec_Ferrari_296_GTB_N-Largo_2.jpg,3840x2160
Ferrari,296,2024 Novitec Ferrari 296 GTB N-Largo,ferrari_dataset/ferrari_images/296/2024_Novitec_Ferrari_296_GTB_N-Largo_3.jpg,3840x2160
Ferrari,296,2024 Novitec Ferrari 296 GTB N-Largo,ferrari_dataset/ferrari_images/296/2024_Novitec_Ferrari_296_GTB_N-Largo_4.jpg,3840x2160
Ferrari,296,2024 Novitec Ferrari 296 GTB N-Largo,ferrari_dataset/ferrari_images/296/2024_Novitec_Ferrari_296_GTB_N-Largo_5.jpg,3840x2160
Ferrari,296,2024 Novitec Ferrari 296 GTB N-Largo,ferrari_dataset/ferrari_images/296/2024_Novitec_Ferrari_296_GTB_N-Largo_6.jpg,3840x2160
Ferrari,296,2024 Novitec Ferrari 296 GTB N-Largo,ferrari_dataset/ferrari_images/296/2024_Novitec_Ferrari_296_GTB_N-Largo_7.jpg,3840x2160
