,show_id,title,cast,release_year,rating,genres,description,popularity,vote_count,vote_average,Action & Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Kids,Mystery,News,Reality,Sci-Fi & Fantasy,Soap,Talk,Unknown,War & Politics,Western,country_China,country_India,country_Japan,country_Other,country_Philippines,country_South Korea,country_Thailand,country_Turkey,country_United Kingdom,country_United States of America,language_ar,language_en,language_es,language_fr,language_hi,language_ja,language_ko,language_tl,language_tr,language_zh,sbert_input
0,33238,Running Man,"Yoo Jae-suk, Jee Seok-jin, Kim Jong-kook, Haha, Song Ji-hyo",0.9925925925925926,0.7742300113308074,"['Comedy', 'Reality']",This series is directed by: 안재철. A reality and competition show where members are joined by celebs to complete a weekly mission to win the race with Seoul as the beautiful backdrop.,13.156458019053037,0.07120011191718319,0.7742300113308074,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,"Title: Running Man. Genre: Comedy, Reality. Description: This series is directed by: 안재철. A reality and competition show where members are joined by celebs to complete a weekly mission to win the race with Seoul as the beautiful backdrop."
1,32415,Conan,"Conan O'Brien, Andy Richter",0.9925925925925926,0.3450119318405026,"['Talk', 'Comedy', 'News']",A late night television talk show hosted by  Conan O'Brien.,11.325694199518727,0.13212202276394297,0.3450119318405026,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,"Title: Conan. Genre: Talk, Comedy, News. Description: A late night television talk show hosted by  Conan O'Brien."
2,37757,MasterChef Greece,,0.9925925925925926,-0.1657077564419084,['Reality'],MasterChef Greece is a Greek competitive cooking game show. It's an adaptation of the British show MasterChef.,8.830097900613355,-0.19134431339861488,-0.1657077564419084,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Title: MasterChef Greece. Genre: Reality. Description: MasterChef Greece is a Greek competitive cooking game show. It's an adaptation of the British show MasterChef.
3,75685,Prostřeno!,"Václav Vydra, Jana Boušková",0.9925925925925926,0.15460424317772223,['Reality'],The knives (and forks) are out as a group of strangers compete for the title of ultimate dinner party host. And the money on the table adds spice to the proceedings...,7.267625085444123,-0.19134431339861488,0.15460424317772223,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Title: Prostřeno!. Genre: Reality. Description: The knives (and forks) are out as a group of strangers compete for the title of ultimate dinner party host. And the money on the table adds spice to the proceedings...
4,33847,The Talk,"Amanda Kloots, Jerry O'Connell, Akbar Gbaja-Biamila, Natalie Morales, Sheryl Underwood",0.9925925925925926,-0.9486926444010051,['Talk'],"A panel of well-known news and entertainment personalities discussing current events, pop culture, contemporary issues, family, celebrity and the trending topics of the day.",4.558692183994044,-0.1826411832776492,-0.9486926444010051,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,"Title: The Talk. Genre: Talk. Description: A panel of well-known news and entertainment personalities discussing current events, pop culture, contemporary issues, family, celebrity and the trending topics of the day."
5,32798,Hawaii Five-0,"Alex O'Loughlin, Scott Caan, Ian Anthony Dale, Meaghan Rath, Beulah Koale",0.9925925925925926,0.6172771315171884,"['Crime', 'Drama', 'Action & Adventure']","Steve McGarrett returns home to Oahu, in order to find his father's killer. The governor offers him the chance to run his own task force (Five-0). Steve's team is joined by Chin Ho Kelly, Danny ""Danno"" Williams, and Kono Kalakaua.",3.8865315097245263,2.338365508428743,0.6172771315171884,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,"Title: Hawaii Five-0. Genre: Crime, Drama, Action & Adventure. Description: Steve McGarrett returns home to Oahu, in order to find his father's killer. The governor offers him the chance to run his own task force (Five-0). Steve's team is joined by Chin Ho Kelly, Danny ""Danno"" Williams, and Kono Kalakaua."
6,1402,The Walking Dead,"Lauren Cohan, Norman Reedus, Jeffrey Dean Morgan, Melissa McBride, Christian Serratos",0.9925925925925926,0.725115504722464,"['Action & Adventure', 'Drama', 'Sci-Fi & Fantasy']",Sheriff's deputy Rick Grimes awakens from a coma to find a post-apocalyptic world dominated by flesh-eating zombies. He sets out to find his family and encounters many other survivors along the way.,2.960256146461891,24.154211678316056,0.725115504722464,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,"Title: The Walking Dead. Genre: Action & Adventure, Drama, Sci-Fi & Fantasy. Description: Sheriff's deputy Rick Grimes awakens from a coma to find a post-apocalyptic world dominated by flesh-eating zombies. He sets out to find his family and encounters many other survivors along the way."
7,31132,Regular Show,"J.G. Quintel, William Salyers, Mark Hamill, Sam Marin, Minty Lewis",0.9925925925925926,0.9094728556146516,"['Animation', 'Comedy']",The surreal misadventures of two best friends - a blue jay and a raccoon - as they seek to liven up their mundane jobs as groundskeepers at the local park.,2.5398168489787745,2.7662694060428894,0.9094728556146516,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,"Title: Regular Show. Genre: Animation, Comedy. Description: The surreal misadventures of two best friends - a blue jay and a raccoon - as they seek to liven up their mundane jobs as groundskeepers at the local park."
8,58581,Antiques Road Trip,Tim Wonnacott,0.9925925925925926,-0.379249089521662,['Documentary'],"This series is directed by: Ian Hendry. Antiques experts travel across the country, competing to make a profit at auction.",3.637824717930071,-0.18844327002495967,-0.379249089521662,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,"Title: Antiques Road Trip. Genre: Documentary. Description: This series is directed by: Ian Hendry. Antiques experts travel across the country, competing to make a profit at auction."
9,73870,Génial!,"Martin Carli, Stéphane Bellavance",0.9925925925925926,-1.1266437553008,"['Family', 'Talk']",Two teams composed of a known personality and a contestant chosen from the public battle to guess the outcomes of astonishing scientific experiments.,2.4505583055287548,-0.1826411832776492,-1.1266437553008,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,"Title: Génial!. Genre: Family, Talk. Description: Two teams composed of a known personality and a contestant chosen from the public battle to guess the outcomes of astonishing scientific experiments."
